person,name,year
https://data.muziekweb.nl/Link/M00000001422,Skeets McDonald,1915
https://data.muziekweb.nl/Link/M00000001423,Stella Chiweshe,1946
https://data.muziekweb.nl/Link/M00000001423,Stella Rambisai Chiweshe,1946
https://data.muziekweb.nl/Link/M00000001452,Sonny Clark,1931
https://data.muziekweb.nl/Link/M00000001454,Tony Allen [NG],1940
https://data.muziekweb.nl/Link/M00000001466,Silvio Rodríguez,1946
https://data.muziekweb.nl/Link/M00000001479,Gustavo Alfredo Santaolalla,1951
https://data.muziekweb.nl/Link/M00000001479,Gustavo Santaolalla,1951
https://data.muziekweb.nl/Link/M00000001555,Edu Lobo,1943
https://data.muziekweb.nl/Link/M00000001574,Raajeswari Padmanabhan,1939
https://data.muziekweb.nl/Link/M00000001574,Rajeswari Padmanabhan,1939
https://data.muziekweb.nl/Link/M00000001574,Rajeswari Padmanabhan,1939
https://data.muziekweb.nl/Link/M00000001584,Bruno Letort,1963
https://data.muziekweb.nl/Link/M00000001642,Roy Drusky,1930
https://data.muziekweb.nl/Link/M00000001648,Mayte Martín,1965
https://data.muziekweb.nl/Link/M00000001696,Bukka White,1909
https://data.muziekweb.nl/Link/M00000001699,Leo Cuypers,1947
https://data.muziekweb.nl/Link/M00000001702,Jeff Healey Band,1966
https://data.muziekweb.nl/Link/M00000001702,Jeff Healey,1966
https://data.muziekweb.nl/Link/M00000001759,Antonio Magini-Coletti,1855
https://data.muziekweb.nl/Link/M00000001810,Barend Barendse,1907
https://data.muziekweb.nl/Link/M00000001840,Peter A. Ceragioli Jr.,1932
https://data.muziekweb.nl/Link/M00000001840,Pete Jolly,1932
https://data.muziekweb.nl/Link/M00000001867,Tubby Hayes,1935
https://data.muziekweb.nl/Link/M00000001912,Otis Clay,1942
https://data.muziekweb.nl/Link/M00000001937,Lucien Fugère,1848
https://data.muziekweb.nl/Link/M00000001943,Merle Travis,1917
https://data.muziekweb.nl/Link/M00000001950,Ethel Waters,1896
https://data.muziekweb.nl/Link/M00000002032,Mongo Santamaria,1922
https://data.muziekweb.nl/Link/M00000002037,Boy Raaymakers,1944
https://data.muziekweb.nl/Link/M00000002080,Louis Malle,1932
https://data.muziekweb.nl/Link/M00000002111,Myriam Makeba,1932
https://data.muziekweb.nl/Link/M00000002111,Miriam Makeba,1932
https://data.muziekweb.nl/Link/M00000002129,BJ Baartmans,1965
https://data.muziekweb.nl/Link/M00000002151,Engelbert Humperdinck,1936
https://data.muziekweb.nl/Link/M00000002171,Scott McKenzie,1939
https://data.muziekweb.nl/Link/M00000002179,Sidney Louie Gunter Jr.,1925
https://data.muziekweb.nl/Link/M00000002179,Hardrock Gunter,1925
https://data.muziekweb.nl/Link/M00000002188,Wim Hogenkamp,1947
https://data.muziekweb.nl/Link/M00000002222,Eunice Kathleen Waymon,1933
https://data.muziekweb.nl/Link/M00000002222,Nina Simone,1933
https://data.muziekweb.nl/Link/M00000002301,Marcel Theo Hall,1964
https://data.muziekweb.nl/Link/M00000002301,Biz Markie,1964
https://data.muziekweb.nl/Link/M00000002302,Uday Bhawalkar,1966
https://data.muziekweb.nl/Link/M00000002385,Leo de la Haye,1901
https://data.muziekweb.nl/Link/M00000002395,Dinkar Kaikini,1927
https://data.muziekweb.nl/Link/M00000002421,Jesse James,1989
https://data.muziekweb.nl/Link/M00000002469,António Chainho,1938
https://data.muziekweb.nl/Link/M00000002522,Roscoe Shelton,1931
https://data.muziekweb.nl/Link/M00000002527,Jan Edvard Wallgren,1935
https://data.muziekweb.nl/Link/M00000002527,Jan Wallgren,1935
https://data.muziekweb.nl/Link/M00000002532,Ginuwine,1970
https://data.muziekweb.nl/Link/M00000002562,Phil Everly,1937
https://data.muziekweb.nl/Link/M00000002593,Georgette-Amélie Sisout,1870
https://data.muziekweb.nl/Link/M00000002593,Georgette Brejean-Silver,1870
https://data.muziekweb.nl/Link/M00000002614,Patricia Beysens,1956
https://data.muziekweb.nl/Link/M00000002643,Eddie Jefferson,1918
https://data.muziekweb.nl/Link/M00000002672,Francesco Barzotti,1953
https://data.muziekweb.nl/Link/M00000002672,Claude Barzotti,1953
https://data.muziekweb.nl/Link/M00000002678,Saint Preux,1950
https://data.muziekweb.nl/Link/M00000002686,Tabu [IN],1970
https://data.muziekweb.nl/Link/M00000002733,Chavela Vargas,1919
https://data.muziekweb.nl/Link/M00000002833,Lydia Mendoza,1916
https://data.muziekweb.nl/Link/M00000002924,Lonny Kellner,1930
https://data.muziekweb.nl/Link/M00000002936,Leonard Cohen,1934
https://data.muziekweb.nl/Link/M00000003013,John C. Walker [US II],1941
https://data.muziekweb.nl/Link/M00000003013,John Walker [US II],1941
https://data.muziekweb.nl/Link/M00000003091,Renée Marcella Jeanmaire,1924
https://data.muziekweb.nl/Link/M00000003091,Zizi Jeanmaire,1924
https://data.muziekweb.nl/Link/M00000003114,Ronnie Milsap,1944
https://data.muziekweb.nl/Link/M00000003115,Trini Lopez,1937
https://data.muziekweb.nl/Link/M00000003221,David Thomas Jones,1945
https://data.muziekweb.nl/Link/M00000003221,Davy Jones,1945
https://data.muziekweb.nl/Link/M00000003277,Max Greger Jr.,1951
https://data.muziekweb.nl/Link/M00000003457,Markos Vakvakaris,1905
https://data.muziekweb.nl/Link/M00000003457,Markos Vamvrakaris,1905
https://data.muziekweb.nl/Link/M00000003457,Markos Vamvakaris,1905
https://data.muziekweb.nl/Link/M00000003540,William Mitchell Byers,1927
https://data.muziekweb.nl/Link/M00000003540,Billy Byers,1927
https://data.muziekweb.nl/Link/M00000003551,Gene Austin,1900
https://data.muziekweb.nl/Link/M00000003580,Blanche Arral,1864
https://data.muziekweb.nl/Link/M00000003588,Michael Colina,1956
https://data.muziekweb.nl/Link/M00000003628,Jerry Jeff Walker,1942
https://data.muziekweb.nl/Link/M00000003635,Victor Silvester,1900
https://data.muziekweb.nl/Link/M00000003666,Leroy Holmes,1913
https://data.muziekweb.nl/Link/M00000003714,Abeti,1954
https://data.muziekweb.nl/Link/M00000003714,Elisabeth Finant,1954
https://data.muziekweb.nl/Link/M00000003714,Abeti Masikini,1954
https://data.muziekweb.nl/Link/M00000003721,Kristiaan Van Ingelgem,1944
https://data.muziekweb.nl/Link/M00000003803,Zdenko Runjic,1942
https://data.muziekweb.nl/Link/M00000003815,Tommy Johnson,1896
https://data.muziekweb.nl/Link/M00000003822,C.J. Chenier,1957
https://data.muziekweb.nl/Link/M00000003822,Clayton Joseph Thompson Chenier,1957
https://data.muziekweb.nl/Link/M00000003822,Clayton Joseph Chenier,1957
https://data.muziekweb.nl/Link/M00000003841,Dagmar Koptein,1957
https://data.muziekweb.nl/Link/M00000003873,Tony Poncet,1918
https://data.muziekweb.nl/Link/M00000003944,John Phillips,1935
https://data.muziekweb.nl/Link/M00000003955,Jacques Berrocal,1946
https://data.muziekweb.nl/Link/M00000003955,Jac Berrocal,1946
https://data.muziekweb.nl/Link/M00000004029,Sylvia Kristel,1952
https://data.muziekweb.nl/Link/M00000004030,Alberto Cortez,1940
https://data.muziekweb.nl/Link/M00000004062,Marcel Carné,1906
https://data.muziekweb.nl/Link/M00000004094,Robin Rimbaud,1964
https://data.muziekweb.nl/Link/M00000004094,Scanner [UK],1964
https://data.muziekweb.nl/Link/M00000004133,Louis-Ronan Choisy,1977
https://data.muziekweb.nl/Link/M00000004133,Louis [FR],1977
https://data.muziekweb.nl/Link/M00000004220,Jean-Baptiste Molière,1622
https://data.muziekweb.nl/Link/M00000004220,Jean-Baptiste Poquelin,1622
https://data.muziekweb.nl/Link/M00000004220,Molière,1622
https://data.muziekweb.nl/Link/M00000004253,René Cloërec,1911
https://data.muziekweb.nl/Link/M00000004257,David Jackson,1947
https://data.muziekweb.nl/Link/M00000004291,Francesco Paolo LoVecchio,1913
https://data.muziekweb.nl/Link/M00000004291,Frankie Laine,1913
https://data.muziekweb.nl/Link/M00000004323,Valérie Lemercier,1964
https://data.muziekweb.nl/Link/M00000004340,Donny Young,1938
https://data.muziekweb.nl/Link/M00000004340,Johnny Paycheck,1938
https://data.muziekweb.nl/Link/M00000004385,Desmond Adolphus Dekker,1941
https://data.muziekweb.nl/Link/M00000004385,Desmond Dekker,1941
https://data.muziekweb.nl/Link/M00000004526,Mick Ronson,1946
https://data.muziekweb.nl/Link/M00000004543,Ann-Sofi Söderqvist,1956
https://data.muziekweb.nl/Link/M00000004548,Gloria Swanson,1899
https://data.muziekweb.nl/Link/M00000004567,Hans Somers,1970
https://data.muziekweb.nl/Link/M00000004590,Blind Gary Davis,1896
https://data.muziekweb.nl/Link/M00000004590,Reverend Gary Davis,1896
https://data.muziekweb.nl/Link/M00000004590,Rev. Gary Davis,1896
https://data.muziekweb.nl/Link/M00000004605,Benedicte Westergaard Madsen,1966
https://data.muziekweb.nl/Link/M00000004605,Dicte,1966
https://data.muziekweb.nl/Link/M00000004676,Jean Anezin,1895
https://data.muziekweb.nl/Link/M00000004676,Jean Lumière,1895
https://data.muziekweb.nl/Link/M00000004685,Hermann Iseringhausen,1925
https://data.muziekweb.nl/Link/M00000004731,Big Joe Williams,1903
https://data.muziekweb.nl/Link/M00000004774,Rudolf Berger,1874
https://data.muziekweb.nl/Link/M00000004782,Lisa Gerrard,1961
https://data.muziekweb.nl/Link/M00000004789,Pierre Barouh,1934
https://data.muziekweb.nl/Link/M00000004870,Famoudou Konaté,1940
https://data.muziekweb.nl/Link/M00000004941,Liam Neeson,1952
https://data.muziekweb.nl/Link/M00000004973,Orlando Gough,1953
https://data.muziekweb.nl/Link/M00000005070,Gene Harris,1933
https://data.muziekweb.nl/Link/M00000005083,Frieda Hempel,1885
https://data.muziekweb.nl/Link/M00000005111,Howard Jones,1955
https://data.muziekweb.nl/Link/M00000005275,Adrien Politi,1957
https://data.muziekweb.nl/Link/M00000005288,David King,1970
https://data.muziekweb.nl/Link/M00000005288,Dave King,1970
https://data.muziekweb.nl/Link/M00000005294,"Joe ""Wingy"" Manone",1900
https://data.muziekweb.nl/Link/M00000005294,"Joseph Matthews ""Wingy"" Manone",1900
https://data.muziekweb.nl/Link/M00000005294,Wingy Manone,1900
https://data.muziekweb.nl/Link/M00000005326,Sara Scuderi,1906
https://data.muziekweb.nl/Link/M00000005334,Jean Lassalle,1847
https://data.muziekweb.nl/Link/M00000005339,Walter De Buck,1934
https://data.muziekweb.nl/Link/M00000005358,Juan Azarías Pacheco Kiniping,1935
