person,name,year
https://data.muziekschatten.nl/som/0142b083a864b0d6774fafebcbe5eb5c,KARL-ERIK FORSSLUND,1872
https://data.muziekschatten.nl/som/0143a3248aee3b349b04579c2cdc5f11,PETER KANN,1958
https://data.muziekschatten.nl/som/01448f7cf6daefdb2bf2eefb2c8d8393,WOLFGANG SCHRÖDER,1943
https://data.muziekschatten.nl/som/0146d9ee1a2508f9334e81e062fa2b9c,ANNA SEGHERS,1900
https://data.muziekschatten.nl/som/01487e25a59627db85d99b9ab6f6deeb,EDUARDO ARMENTEROS GONZÁLEZ,1956
https://data.muziekschatten.nl/som/014b7d29890fee88edb0a61990474a41,HEINRICH FIDELIS MÜLLER,1837
https://data.muziekschatten.nl/som/014c2e9c36d1341d53fc6c259b0cc606,TOMI UNGERER,1931
https://data.muziekschatten.nl/som/014c5c0edce18728e3c98d75ebc7b65d,HENRI MICHAUX,1899
https://data.muziekschatten.nl/som/014da998882af643b70bc52514329355,NELLY SACHS,1891
https://data.muziekschatten.nl/som/01548e9dbd6be15fbc08e24385d7ae8e,HARRY RUBY,1895
https://data.muziekschatten.nl/som/015711dd82dd4326dc5b1fb95dbd8df0,WILHELM ZEHLE,1876
https://data.muziekschatten.nl/som/015f379d7702018db9a0181bd2ff615c,JOE WARFIELD,1937
https://data.muziekschatten.nl/som/0160e85870aabc565d786609df22cd69,ALEKSANDR NESTEROV,1949
https://data.muziekschatten.nl/som/01694ee292b23860e4f26f5e361f7a98,GUY LAFARGE,1904
https://data.muziekschatten.nl/som/016c28b3836f0795b2888642094714d9,SIMON JUROVSKÝ,1912
https://data.muziekschatten.nl/som/016d8be82b239eff06511ea952f11f68,GEORG NEUMARK,1621
https://data.muziekschatten.nl/som/01758aefa1e4b7eab0d33ffbe531a6cb,IRWIN HEILNER,1908
https://data.muziekschatten.nl/som/017b6b818c48c53baf16f97ba25111aa,OTAKAR JEREMIÁS,1892
https://data.muziekschatten.nl/som/017be43c76f9e336cb9c46f51c8336a1,JOHN EDMUNDS,1913
https://data.muziekschatten.nl/som/017c4a056109e408bf42abaddccd3877,GUSTAV ZELIBOR,1903
https://data.muziekschatten.nl/som/017eca5e86db620938506eb65a6db572,MAEGT,1876
https://data.muziekschatten.nl/som/017eca5e86db620938506eb65a6db572,JOHAN DE MAEGT,1876
https://data.muziekschatten.nl/som/017f298d8730dab1993ce5b6a5fbd088,FRANCISCA DESCHAMPS,1930
https://data.muziekschatten.nl/som/01837e4ca1b7b49376bd157a7c0ac462,AUKE POL,1959
https://data.muziekschatten.nl/som/01840efb920e3f3f1a7dc8ac4d76bd1a,LARRY CLINTON,1909
https://data.muziekschatten.nl/som/0184ecc74de107ce705533470288efd3,BRUNO LÜLING,1873
https://data.muziekschatten.nl/som/0186258832fb33ed7cb1b6f32f28e9db,JAMES COHEN VAN ELBURG,1897
https://data.muziekschatten.nl/som/0188761d1662414bdd45dd8bb01e6ebe,MELANIE,1947
https://data.muziekschatten.nl/som/018a5aea995abc6fb448b8fbd1ee3d64,PIOTR MASZYNSKI,1855
https://data.muziekschatten.nl/som/0196f8c44ae68e39264559c0d24aa1ef,DOROTHY PORTER,1954
https://data.muziekschatten.nl/som/019c60168f51caa638957d797494d1e4,HANS DÜNSCHEDE,1907
